time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
505,-86.0492,-86.2,8.1089e-05,0.584196,11.5924,138.291,0.02,0.978663,0.944717,0.00662337,0.479473,0.0030578,0.999998,2.1157e-08,2.02981e-05,0.962525,1.00549,0.999843,0.0302114
510,-86.185,-86.2,8.0643e-05,0.584089,11.5925,138.291,0,0.97891,0.94797,0.00591869,0.480972,0.00303057,0.999998,2.086e-08,1.99187e-05,0.964791,1.00551,0.999848,0.0146611
515,-86.2276,-86.2,8.02171e-05,0.583976,11.5926,138.292,0,0.979214,0.951029,0.00528614,0.481506,0.00301568,0.999998,2.05986e-08,1.97943e-05,0.966919,1.00553,0.999853,0.00447828
520,-86.2404,-86.2,7.98113e-05,0.583857,11.5927,138.292,0,0.979415,0.953886,0.00472199,0.481666,0.00301074,0.999998,2.0476e-08,1.97575e-05,0.968919,1.00555,0.999858,0.00176709
525,-86.1857,-86.2,7.94255e-05,0.583734,11.5928,138.292,0.03,0.979446,0.95654,0.00422131,0.481099,0.00301867,0.999998,2.05286e-08,1.99054e-05,0.970797,1.00557,0.999862,-0.0415131
530,-85.7126,-86.2,7.90622e-05,0.583604,11.593,138.292,0.05,0.978906,0.95895,0.00378515,0.477249,0.00307736,0.999998,2.1205e-08,2.1037e-05,0.972561,1.00558,0.999866,-0.142259
535,-85.1972,-86.2,7.87306e-05,0.58347,11.5932,138.292,0.04,0.976854,0.960986,0.0034241,0.470404,0.00323032,0.999998,2.34267e-08,2.28004e-05,0.974218,1.0056,0.999869,0.0862809
540,-85.2294,-86.2,7.84144e-05,0.583331,11.5934,138.292,0.05,0.97588,0.962898,0.00309896,0.471519,0.00322395,0.999998,2.3826e-08,2.25486e-05,0.975775,1.00561,0.999872,-0.0486764
545,-84.8553,-86.2,7.812e-05,0.583188,11.5937,138.292,0.05,0.974407,0.964592,0.00281737,0.467311,0.00330675,0.999998,2.50798e-08,2.37764e-05,0.977237,1.00563,0.999875,0.0150314
550,-84.2623,-86.2,7.78473e-05,0.583041,11.5941,138.292,0.04,0.972422,0.966075,0.00257388,0.460494,0.00343184,0.999998,2.6997e-08,2.59752e-05,0.97861,1.00564,0.999878,0.234236
